RecordID,FeeAmount,RabiesExpirationDate,StreetName,TagNumber,TagType,TagYear,BlockNumber
59,4,2014-12-04T05:00:00.000Z,WAYNE AVE ,18018,Unsexed - 1 Year         ,2010,2300
60,4,2017-11-12T05:00:00.000Z,BROAD AVE ,18019,Unsexed - 1 Year         ,2010,1500
61,4,2011-01-12T05:00:00.000Z,PEARTREE LN ,18020,Unsexed - 1 Year         ,2010,1000
62,4,2016-03-10T05:00:00.000Z,WAYNE AVE ,18021,Unsexed - 1 Year         ,2010,2200
63,4,2014-05-04T04:00:00.000Z,GROVE RD ,18022,Unsexed - 1 Year         ,2010,1300
64,4,2011-04-29T04:00:00.000Z,UNKNOWN ,18023,Unsexed - 1 Year         ,2010,0
65,4,2013-01-13T05:00:00.000Z,UNKNOWN ,18024,Unsexed - 1 Year         ,2010,0
66,4,2014-01-13T05:00:00.000Z,ALDERMAN RD ,18025,Unsexed - 1 Year         ,2010,300
67,4,2010-12-18T05:00:00.000Z,BROOKWOOD DR ,18026,Unsexed - 1 Year         ,2010,100
68,4,2019-11-12T05:00:00.000Z,WATSON AVE ,18027,Unsexed - 1 Year         ,2010,600
69,4,2012-05-10T04:00:00.000Z,UNKNOWN ,18028,Unsexed - 1 Year         ,2010,0
70,4,2010-12-15T05:00:00.000Z,ST GEORGE AVE ,18029,Unsexed - 1 Year         ,2010,1200
71,4,2011-01-11T05:00:00.000Z,PRESTON AVE ,18030,Unsexed - 1 Year         ,2010,12000
72,4,2019-07-22T04:00:00.000Z,VILLAGE RD ,18031,Unsexed - 1 Year         ,2010,700
73,4,2013-10-06T04:00:00.000Z,VILLAGE RD ,18032,Unsexed - 1 Year         ,2010,700
74,4,2013-12-13T05:00:00.000Z,WILLARD DR ,18033,Unsexed - 1 Year         ,2010,2600
75,4,2011-01-13T05:00:00.000Z,WALKER SQ ,18034,Unsexed - 1 Year         ,2010,700
76,4,2017-03-17T04:00:00.000Z,WESTWOOD CIR ,18035,Unsexed - 1 Year         ,2010,100
